date_aaaammjj;menutypeplat;plat;specificites;repas
2020-10-09;Plat;PARMENTIER PATATE DOUCE/LENTILLES (COLLEGE) - COMPLET ALTERNATIF PV;;DEJEUNER
2021-03-26;Dessert;KIWI;;DEJEUNER
2020-10-09;Fromage;YAOURT NATURE BIO LES 2 VACHES ET SUCRE;Produit Agriculture Biologique;DEJEUNER
2021-03-29;Entrée;HOUMOUS ET BATONNET CAROTTE UPC;Haute Qualité Alimentaire;DEJEUNER
2020-10-12;Entrée;CAROTTES RAPEES BIO AU CITRON ET HUILE D'OLIVE;;DEJEUNER
2021-03-29;Entrée;SALADE COEUR DE BLE AU THON;;DEJEUNER
2020-10-12;Dessert;BEIGNET POMME;;DEJEUNER
2021-03-29;Fromage;FROMAGE CARRE FRAIS BIO IND;Produit Agriculture Biologique;DEJEUNER
2020-10-13;Entrée;AVOCAT AU CREVETTE;;DEJEUNER
2021-03-29;Dessert;BEIGNET DONUT'S DOONYS;;DEJEUNER
2020-10-13;Fromage;FROMAGE PORT SALUT;;DEJEUNER
2021-03-30;Plat;CHILI VEGE PLAT COMPLET ALTERNATIF PV;;DEJEUNER
2020-10-15;Entrée;PATE CAMPAGNE HQA A/PORC;Haute Qualité Alimentaire;DEJEUNER
2021-03-30;Légumes;HARICOTS VERTS BIO PERSILLES;Produit Agriculture Biologique;DEJEUNER
2020-10-15;Entrée;TIELLE DE SETE IND;;DEJEUNER
2020-09-01;Entrée;CAROTTES RAPEES BIO;Produit Agriculture Biologique;DEJEUNER
2021-03-30;Fromage;FROMAGE EMMENTAL BIO A LA COUPE;Produit Agriculture Biologique;DEJEUNER
2020-10-15;Légumes;POELEE MEDITERRANEENNE AUX LEGUMES GRILLES;;DEJEUNER
2020-09-01;Dessert;LIEGEOIS VANILLE / CARAMEL;;DEJEUNER
2021-04-01;Entrée;BETTERAVE DES AU MAIS;;DEJEUNER
2020-10-15;Fromage;FROMAGE TOMME CATALANE AOP;Haute Qualité Alimentaire;DEJEUNER
2020-09-03;Fromage;FROMAGE PETIT LOUIS COQUE IND;;DEJEUNER
2021-04-01;Légumes;PETIT POIS CAROTTES BIO UPC;Produit Agriculture Biologique;DEJEUNER
2020-10-16;Entrée;POMELOS BIO AU SUCRE (ENTREE);Produit Agriculture Biologique;DEJEUNER
2020-09-04;Entrée;SALADE POMME DE TERRE AU THON UPC;;DEJEUNER
2021-04-01;Fromage;FROMAGE BRIE BIO COUPE;Produit Agriculture Biologique;DEJEUNER
2020-10-16;Fromage;FROMAGE PIK ET CROQ IND;;DEJEUNER
2020-09-04;Légumes;RATATOUILLE UPC;;DEJEUNER
2021-04-02;Entrée;SALADE LAITUE FEUILLE BIO AU CHEVRE CHAUD;Produit Agriculture Biologique;DEJEUNER
2020-11-02;Entrée;FILET DE MAQUEREAU MOUTARDE;;DEJEUNER
2020-09-04;Fromage;YAOURT FERMIER HQA ET SUCRE;Haute Qualité Alimentaire;DEJEUNER
2021-04-02;Plat;FILET DE COLIN PANE AVEC CITRON;;DEJEUNER
2020-11-02;Légumes;GALETTE POMME DE TERRE RAPEE;;DEJEUNER
2020-09-07;Dessert;DESSERT FRUIT Po DE SAISON BIO ANNUEL 1;Produit Agriculture Biologique;DEJEUNER
2021-04-06;Entrée;SALADE MELANGE BIO AVEYRONNAISE;Produit Agriculture Biologique;DEJEUNER
2020-11-02;Fromage;FROMAGE SAINT PAULIN BIO;Produit Agriculture Biologique;DEJEUNER
2020-09-08;Entrée;JAMBON CUIT / BEURRE;;DEJEUNER
